CustomId,Part Number,Colors,filename
149,2583,"['Black', 'Light Gray', 'Light Yellow', 'Tan', 'Yellow']",2583.dat
150,2584,"['Black', 'Blue', 'Light Bluish Gray', 'Light Gray', 'Red', 'Reddish Brown', 'Yellow']",2584.dat
151,2585,"['Black', 'Light Bluish Gray', 'Light Gray', 'White']",2585.dat
152,2593,"['Black', 'Blue', 'Green', 'Light Gray', 'Red', 'Yellow']",2593.dat
153,2598,"['Tan', 'Trans-Clear', 'Trans-Dark Blue', 'Trans-Green', 'Trans-Neon Green']",2598.dat
154,2599a,"['Black', 'Blue', 'Bright Light Yellow', 'Dark Azure', 'Dark Purple', 'Dark Turquoise', 'Light Bluish Gray', 'Light Gray', 'Light Nougat', 'Lime', 'Orange', 'Red', 'White', 'Yellow']",2599a.dat
155,2607,"['Black', 'Blue', 'Dark Gray', 'Light Gray', 'Red', 'White']",2607.dat
156,2609,"['Black', 'Blue', 'Dark Gray', 'Red', 'White', 'Yellow']",2609.dat
157,2614,"['Black', 'Red']",2614.dat
158,2617,"['Dark Gray', 'Light Gray']",2617.dat
159,2620,"['Trans-Dark Blue', 'Trans-Green', 'Trans-Light Blue', 'Trans-Brown']",2620.dat
160,2621,"['Black', 'Blue', 'Red', 'Tan']",2621.dat
